Source,Target,Type,Label,timeset,Weight
1255647802757197828,885868623994245120,Directed,0,,1
1255647678253486082,1050174967298629633,Directed,1,,1
1255647644036325377,128372940,Directed,2,,1
1255647626600624136,975127727501185025,Directed,3,,1
1255647570258472961,1254284824988332032,Directed,4,,1
1255647562499047431,2892290499,Directed,5,,1
1255647450565672961,128372940,Directed,6,,1
1255647434262360071,14594813,Directed,7,,1
1255647280373301248,10228272,Directed,8,,1
1255647275432501249,126436384,Directed,9,,1
1255647002437857280,17850880,Directed,10,,1
1255647002437857280,55269569,Directed,11,,1
1255647002437857280,260509524,Directed,12,,1
1255647000965664774,74756085,Directed,13,,1
1255646902386855936,74756085,Directed,14,,1
1255646896049344514,74756085,Directed,15,,1
1255646738414800896,72917379,Directed,16,,1
1255646671716876288,1095834875716874245,Directed,17,,1
1255646671716876288,54547433,Directed,18,,1
1255646590502686720,14594813,Directed,19,,1
1255646548760973312,74756085,Directed,20,,1
1255646404447535107,330770436,Directed,21,,1
1255646339628781568,128372940,Directed,22,,1
1255646320615981056,35805725,Directed,23,,1
1255646098296901633,20771988,Directed,24,,1
1255646096162009089,74756085,Directed,25,,1
1255646096162009089,64706049,Directed,26,,1
1255646096162009089,18048666,Directed,27,,1
1255645910186496000,953243284981329920,Directed,28,,1
1255645910186496000,45870897,Directed,29,,1
1255645730280296454,1250037140647481344,Directed,30,,1
1255645677645897728,74756085,Directed,31,,1
1255645671576780808,240692662,Directed,32,,1
1255645671576780808,1253795796128092167,Directed,33,,1
1255645671576780808,1233121290325823490,Directed,34,,1
1255645671576780808,153505589,Directed,35,,1
1255645671576780808,151653693,Directed,36,,1
1255645575078383627,3318337402,Directed,37,,1
1255645575078383627,1189243148159115271,Directed,38,,1
1255645389883150339,55885236,Directed,39,,1
1255645310824722433,61241748,Directed,40,,1
1255645310824722433,4106068103,Directed,41,,1
1255644925577887745,17850880,Directed,42,,1
1255644925577887745,260509524,Directed,43,,1
1255644898394595328,1041826298715365377,Directed,44,,1
1255644883563548673,34164237,Directed,45,,1
1255644861107187713,16794066,Directed,46,,1
1255644839892398080,74756085,Directed,47,,1
1255644838214742016,1218707751364448256,Directed,48,,1
1255644838214742016,128372940,Directed,49,,1
1255644739812110337,1219531374312509440,Directed,50,,1
1255644739812110337,1053738706232844290,Directed,51,,1
1255644584895557635,74756085,Directed,52,,1
1255644464825217026,240692662,Directed,53,,1
1255644464825217026,151653693,Directed,54,,1
1255644402229358594,74756085,Directed,55,,1
1255644304456003585,74756085,Directed,56,,1
1255644160922615810,1388402174,Directed,57,,1
1255644120015659009,74756085,Directed,58,,1
1255644082698944512,74756085,Directed,59,,1
1255643873378029568,74756085,Directed,60,,1
1255643631723130881,1494658207,Directed,61,,1
1255643600488206337,1426055796,Directed,62,,1
1255643600488206337,907446048091766785,Directed,63,,1
1255643600488206337,949339313447292928,Directed,64,,1
1255643600488206337,731609172349980673,Directed,65,,1
1255643600488206337,24565292,Directed,66,,1
1255643554212458498,3003883504,Directed,67,,1
1255643554212458498,128372940,Directed,68,,1
1255643395684470784,1494658207,Directed,69,,1
1255643123126013952,240692662,Directed,70,,1
1255642982008721408,2923397967,Directed,71,,1
1255642982008721408,260509524,Directed,72,,1
1255642982008721408,3984632307,Directed,73,,1
1255642982008721408,1218707751364448256,Directed,74,,1
1255642960517124097,74756085,Directed,75,,1
1255642917424771075,128372940,Directed,76,,1
1255642849980407810,74756085,Directed,77,,1
1255642846851403777,74756085,Directed,78,,1
1255642783307706370,88902955,Directed,79,,1
1255642783307706370,2800880229,Directed,80,,1
1255642760192970753,1494658207,Directed,81,,1
